;reference;sous_famille;pignon 1;pignon 2;long_pan3;long_pan4;long_pan5;long_pan6;cloison7;cloison8;cloison9;cloison10;kitchenette;lieu_rangement;Liste Expertise;Liste_Amenagement
0;Bung00624;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0; 1.0;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;chilly Mazarin ;;pignon1: Pignon Fenêtre convecteur 7.0,  longpan3: <vide> 1.0,  longpan5: <vide> 1.0,  cloison_int7: Cloison Porte 4.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0, 
1;Bung04011;Bungalow 6m;;;;;;;;;;;;;;
2;bung00418;Bungalow 9m;;;;;;;;;;;;;;
3;Bung00677;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;<vide> 1.0;<vide> 1.0;Panneau Passage 2.0;Porte exterieure 5.0;;CMS;;pignon1: Pignon Fenêtre 5.0,  pignon2: Pignon sanitaire/WC 10.,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Porte exterieure 5.0,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
4;BUNG00988;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;;;
5;BUNG03050;Bungalow 6m;;;;;;;;;;; 4.0;;;
6;Bung00471;Bungalow 9m;Pignon Porte 6.0;Pignon Porte 6.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Plein 2.0;Panneau Plein 2.0;Cloison 1/2 long pan #04 5.0;chilly mazarin;Echange porte extérieure(U) 4.0, Echange canon de serrure(U) 0.5, Echange serrure complète (U) 0.5, Nettoyage intérieur cantonnement (M2) 0.1, Peinture extérieure (M2) 0.25, Peinture interieure(M2) 0.25, Poignée de porte int.Etext.(U) 0.25, Echange convecteur (U) 1.0, Echange Fluo 36 W 1.20M (U) 0.25, Echange Refrigirateur 135 L (U) 0.5, Echange chaise plastique (U) 0.0, , Lessivage armoire Vestiaire (U) 0.5, Nettoyage armoire séchante collective (U) 2.0, Lavage colonne de coffre fort (U) 1.0;
7;BUNG00037;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur 7.0; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;Pignon #01 5.0;;;
8;BUNG01321;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  longpan3: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Panneau Passage 2.0,  kitchenette: <vide> 4.0,  config_vestiaires: <n/a> 0.0, 
9;Bung00547;Bungalow 9m;Pignon Fenêtre clim reversible 10.;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;Cloison Porte 4.0;Cloison Porte 4.0;Panneau Passage 2.0;Porte exterieure 5.0;;chilly mazarin;;pignon1: Pignon Fenêtre clim reversible 10.,  longpan3: 1/2 long Pan Plein 2.5,  longpan4: 1/2 long Pan Plein 2.5,  longpan5: 1/2 long Pan Plein 2.5,  longpan6: 1/2 long Pan Plein 2.5,  cloison_int7: Cloison Porte 4.0,  cloison_int8: Cloison Porte 4.0,  cloison_pass9: Panneau Passage 2.0,  cloison_pass10: Porte exterieure 5.0,
10;BUNG03091;Bungalow 6m;;;;;;;;;;;Pignon #02 5.0;;;pignon1: Pignon Porte 2.5,  passage6: 6.0, 
11;BUNG03030;Bungalow 6m;;;;;;;;;;;;tourville ;;pignon1: Pignon ferme 2.5,  longpan3: Long Pan 6m standard 2.5, 
12;BUNG03259;Bungalow 6m;;;;;;;;;;;;base de tourville la rivière ;; passage5: 2.0,  passage6: 2.0,  cloison7: null, 
13;bung00919;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 1.0;Cloison Porte 4.0; 0.5; 0.5;;;;
14;BUNG04181;Bungalow 6m;;;;;;;;;;;;;;
15;Bung00449;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur/window 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Porte exterieure 5.0; 4.0;;_Sansréserve 0.0_Sans réserve 0.0, , , ;pignon1: Pignon mi-Plein/mi-Fenetre 5.0,  pignon2: Pignon mi-Plein/mi-Fenetre 5.0,  cloison_int7: <vide> 1.0,  cloison_int8: <vide> 1.0,  cloison_pass10: Panneau Passage 2.0,  config_vestiaires: communicant 11.5, 
16;BUNG04197;Bungalow 6m;;;;;;;;;;;;;;
17;BUNG00903;Bungalow 9m;Pignon Fenêtre 5.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0;Cloison Porte 4.0; 1.0;Panneau Plein 2.0; 0.5;;;;
